Map,Winner,Winner race,Loser,Loser race
Northern Isles,Happy,u,Sonik,n
Last Refuge,Dise,n,Cement,u
Terenas Stand LV,FoCuS,o,Lyn,o
Northern Isles,FoCuS,o,Michael,u
Turtle Rock,Lyn,n,LawLiet,o
Echo Isles,Michael,u,Patco,n
Turtle Rock,HawK,h,HoT,n
Northern Isles,WFZ,u,LawLiet,n
Northern Isles,SaysO,u,Jens,n
Last Refuge,Krawty,n,Turnaround,TBD
Turtle Rock,MisterWinner,h,CJIeMoBuK59,n
Autumn Leaves,Scars,o,Helbisch,u
Last Refuge,Hankk,o,ArminvB,o
Last Refuge,Loiu,o,Chaganaga,u
Concealed Hill,Psike,u,Trowa,n
Last Refuge,Happy,u,Sheik,u
Echo Isles,Eer0,u,Colorful,n
Amazonia,CoopeR,o,MisterWinner,h
Echo Isles,HawK,h,Happy,u
Northern Isles,WaN,u,Neytpoh,n
Autumn Leaves,Helbisch,u,JusTDoiTpLs,u
Autumn Leaves,Ceron,n,SaysO,u
Terenas Stand LV,Lyn,o,Colorful,n
Concealed Hill,Foggy,n,Simba,h
Northern Isles,ThundeR,h,Bischa,h
Amazonia,Sonik,n,Blade,h
Last Refuge,ThorZaIN,h,SaiDe,n
Amazonia,SeTh,n,Ze1Ko,h
Concealed Hill,Hitman,o,Ark,n
Concealed Hill,LiiLD.C,n,SyDe,u
Concealed Hill,AllTheSmoke,u,WTii,h
Concealed Hill,Gonz,n,Lubber,u
Northern Isles,Lin Guagua,o,Bido,h
Twisted Meadows,Paladyn,n,Neytpoh,n
Concealed Hill,Moon,n,FoCuS,o
Autumn Leaves,Sonik,n,KiWiKaKi,o
Last Refuge,Wild (Romanian player),u,TekRicket,n
Echo Isles,JokeRn,n,Philiwarrior,o
Echo Isles,Sonik,n,Fish,h
Echo Isles,ArminvB,o,Patco,h
Concealed Hill,VortiX,u,HawK,h
Last Refuge,Fish,h,Divine,u
Northern Isles,Starshaped,n,Lilyal,u
Last Refuge,Sonik,n,RenZNek,u
