Map,Winner,Winner race,Loser,Loser race
Echo Isles,Hankk,o,YggaM,h
Last Refuge,Blade,h,Dise,n
Northern Isles,Foggy,n,HawK,h
Northern Isles,FeeLx,h,MisterWinner,h
Concealed Hill,Infi,u,Eer0,u
Last Refuge,Fly100%,o,LawLiet,n
Echo Isles,Sok,h,Lin Guagua,o
Concealed Hill,ToD,h,ToM,o
Northern Isles,ToD,h,RaGsen,o
Last Refuge,CoopeR,o,EnTe,u
Amazonia,ShaDai,h,X3-DemoN,h
Concealed Hill,Neytpoh,n,Deathnote,h
Last Refuge,Flopoks,u,MisterWinner,h
Terenas Stand LV,Foggy,n,KraV,u
Last Refuge,ToM,o,PhoeNix,n
Northern Isles,Ag3nt,h,Mosura,u
Echo Isles,MisterWinner,h,Steler,o
Echo Isles,Neytpoh,n,Steler,o
Northern Isles,Infi,u,Michael,u
Terenas Stand LV,FoCuS,o,Michael,u
Amazonia,KraV,u,XlorD,u
Amazonia,Blade,h,Wiz,n
Concealed Hill,Hunter,n,Lubber,u
Terenas Stand LV,Dise,n,Deathnote,h
Terenas Stand LV,Helbisch,u,Sunny,h
Concealed Hill,CrunCher,h,KiWiKaKi,o
Turtle Rock,Happy,u,Neytpoh,n
Last Refuge,DirtBag,h,INSUPERABLE,u
Last Refuge,Deathnote,h,HoT,n
Northern Isles,SaiDe,n,SyDe,u
Concealed Hill,Flopoks,u,Gonz,n
Concealed Hill,Inspired,h,X3-DemoN,h
Last Refuge,Happy,u,ShaDai,u
Northern Isles,Edo,u,ArminvB,o
Amazonia,MisterWinner,h,FroZeN (Russian player),h
Echo Isles,Sauce (American player),o,Photonman24,u
Concealed Hill,Sheik,u,Cement,u
Last Refuge,Fly100%,o,LawLiet,n
Concealed Hill,Sonik,n,Patco,h
Echo Isles,Fortitude,h,灰太狼123,TBD
Amazonia,X3-DemoN,h,Singroso,h
Northern Isles,ToD,h,Sonik,n
Concealed Hill,SyDe,u,CaSpeND,u
Amazonia,Starshaped,n,Sonik,n
Concealed Hill,Sunny,h,Dise,n
Echo Isles,ToM,o,Lubber,u
Echo Isles,EnTe,u,ToM,o
Last Refuge,Iva,h,FeeLx,h
Amazonia,HawK,h,Deathnote,h
Terenas Stand LV,Tak3r,o,MatsuYama,h
Northern Isles,Rav3n,u,Scower,o
Amazonia,AtheistP,h,Arma,o
Concealed Hill,Sheik,u,LawLiet,n
Northern Isles,Michael,u,Eer0,u
Echo Isles,Fish,h,RaZZoRMaN,o
Northern Isles,Happy,u,LiiLD.C,n
Last Refuge,Sheik,u,Neytpoh,n
Northern Isles,JarAsH,o,Manusiku,u
Echo Isles,Eer0,u,Lyn,o
Terenas Stand LV,Foggy,n,Michael,u
Echo Isles,Sok,h,Colorful,n
Amazonia,Happy,u,Dise,n
Last Refuge,ToD,h,Kevin,n
Northern Isles,INSUPERABLE,u,Deuce,u
Terenas Stand LV,XiaoKai,u,Soin,o
Last Refuge,ToM,o,ToRReNtE,n
Echo Isles,Foggy,n,Sonik,n
Terenas Stand LV,ToD,h,SpoKi,n
Concealed Hill,Kevin,n,Rigety,o
Terenas Stand LV,Foggy,n,Lin Guagua,o
Terenas Stand LV,Eer0,u,Fly100%,o
Concealed Hill,PalleS,h,ToX,u
Autumn Leaves,WaN,u,Fog,n
Concealed Hill,Helbisch,u,Tak3r,o
Echo Isles,EnTe,u,ToM,o
Last Refuge,Happy,u,Rennaissanse,n
Terenas Stand LV,Gonz,n,Lubber,u
Northern Isles,JohnnyCage,h,Please,n
Last Refuge,Helbisch,u,Changer,h
Northern Isles,Happy,u,HawK,h
Echo Isles,TGW,u,PteN,o
Turtle Rock,Foggy,n,HawK,h
Echo Isles,SushiLicious,u,LuTr,o
Last Refuge,WaN,u,Dain,u
Last Refuge,LongWalk,n,SpoKi,h
Turtle Rock,Foggy,n,Michael,u
Northern Isles,KraV,u,Neytpoh,n
Twisted Meadows,KiWiKaKi,o,Duck,u
Amazonia,Ze1Ko,h,Powlok,h
Terenas Stand LV,Helbisch,u,Tak3r,o
Northern Isles,,,,
Last Refuge,Rav3n,u,YggaM,h
Concealed Hill,Lubber,u,ToM,o
Echo Isles,Chaemiko,h,15sui,u
Amazonia,Dise,n,Sonik,n
Turtle Rock,Sok,h,Chaemiko,h
Last Refuge,SexySeahorse,n,ILW3ILW3,u
Turtle Rock,JohnnyCage,h,Blade,h
Last Refuge,ToD,h,Aserinox,u
Echo Isles,Chaemiko,h,Fortitude,h
Amazonia,Happy,u,Acolyte Streamer,h
Amazonia,XiaOgame,o,Sooo Unreal,h
Amazonia,Sheik,u,Celebrate,o
Northern Isles,FeeLx,h,PalleS,h
Last Refuge,Lyn,o,Moon,n
Echo Isles,Michael,u,Chaemiko,h
Tidehunters,Dise,n,Starshaped,n
Amazonia,Foggy,n,Dise,n
Concealed Hill,Pink,u,Chaemiko,h
Last Refuge,WaN,u,Franzyzz,o
Last Refuge,Happy,u,TheFlash,u
Last Refuge,ToM,o,Kevin,n
Amazonia,LongWalk,n,WaN,u
Last Refuge,Sonik,n,Elf1mba,u
Concealed Hill,LawLiet,n,INSUPERABLE,u
Northern Isles,Fly100%,o,LawLiet,n
Echo Isles,Eer0,u,Fortitude,h
Last Refuge,Happy,u,Foggy,n
Concealed Hill,Edo,u,Hankk,o
Concealed Hill,Fortitude,h,Michael,u
Twisted Meadows,KraV,u,Paladyn,n
Concealed Hill,FoCuS,o,Pink,u
Concealed Hill,Eer0,u,Chaemiko,h
Last Refuge,FoCuS,o,LawLiet,n
Autumn Leaves,Starshaped,n,Bizzare,o
Amazonia,Deathnote,h,HoT,n
Last Refuge,HoT,n,Rici,o
Last Refuge,Hitman,o,CrunCher,h
Concealed Hill,ToM,o,Cement,u
Concealed Hill,Blade,h,ToD,h
Northern Isles,Moon,n,Lyn,o
Last Refuge,ToX,u,PalleS,h
Echo Isles,WaN,u,LongWalk,n
Terenas Stand LV,JarAsH,o,Starz,n
Concealed Hill,Blade,h,Dise,n
Northern Isles,ToM,o,Ze1Ko,h
Last Refuge,Flopoks,u,Sonik,n
Echo Isles,Foggy,n,Dise,n
Last Refuge,JadeDark,n,BlaST9Z,n
Concealed Hill,Krawty,n,Turnaround,TBD
Northern Isles,HoT,n,Ember,u
Concealed Hill,Happy,u,Deathnote,h
Concealed Hill,Deathnote,h,INSUPERABLE,u
Echo Isles,SyDe,u,ArminvB,o
Echo Isles,Powlok,h,Patco,h
Amazonia,Colorful,n,LawLiet,n
Amazonia,Temskiy,o,Simba,h
Terenas Stand LV,LawLiet,n,Deathnote,h
Turtle Rock,Cement,u,X3-DemoN,h
Amazonia,PalleS,h,GhostDragon,h
Terenas Stand LV,ThundeR,h,Foggy,n
Northern Isles,Seal,o,ZeLL,h
Last Refuge,Michael,u,Cement,u
Concealed Hill,Starshaped,n,Kribbinho,n
Concealed Hill,SpoKi,h,JokeRn,n
Concealed Hill,ToD,h,Aserinox,u
Amazonia,Remodemo,u,Hipposaur,h
Concealed Hill,LawLiet,n,Lyn,o
Northern Isles,Fly100%,o,LawLiet,n
Amazonia,Dise,n,XeLSinG,o
Turtle Rock,Foggy,n,Tak3r,o
Turtle Rock,Sok,h,Yange,n
Amazonia,ToD,h,Deathnote,h
Concealed Hill,Spiral,o,ThorZaIN,h
Echo Isles,Lubber,u,Mosura,u
Northern Isles,Michael,u,Foggy,n
Concealed Hill,YaGami,h,Quberte,u
Concealed Hill,Happy,u,Sw1tch,o
Concealed Hill,OC,n,INSUPERABLE,u
Northern Isles,ToM,o,CraftiCat,h
Concealed Hill,KnOfF,o,Cement,u
Last Refuge,Fortitude,h,Sini,n
Terenas Stand LV,Dise,n,Hipposaur,h
Amazonia,Sheik,u,Chiko,o
Concealed Hill,Lin Guagua,o,Sok,h
Echo Isles,Anxi,u,世界尽头,n
Northern Isles,CranKy SnaiL,h,Edek,o
Northern Isles,DesTr0,h,ZeLL,h
Concealed Hill,Arma,o,Illisori,n
Echo Isles,Happy,u,Foggy,n
Echo Isles,Michael,u,Sonik,n
Autumn Leaves,Alice,n,Michael,u
Concealed Hill,Foggy,n,Happy,u
Concealed Hill,Passion,n,Colorful,n
Autumn Leaves,Michael,u,Starshaped,n
Last Refuge,Sheik,u,Dise,n
Echo Isles,WTii,h,AllTheSmoke,u
Northern Isles,Deuce,u,Pokey,n
Northern Isles,Sok,h,Fortitude,h
Turtle Rock,Wiz,n,HoT,n
Zul'Alor,Ossavi,h,DV,u
Twisted Meadows,LawLiet,n,FoCuS,o
Terenas Stand LV,Blade,h,Dise,n
Concealed Hill,LiiLD.C,n,EnTe,u
Last Refuge,Biko,u,ToM,o
Last Refuge,Happy,u,Please,n
Northern Isles,无道oc,o,Decadent God,o
Echo Isles,Michael,u,Lin Guagua,o
Amazonia,Foggy,n,Soulful,h
Echo Isles,Soin,o,Please,n
Northern Isles,Michael,u,Ice orc,o
Amazonia,Foggy,n,Sonik,n
Northern Isles,Sixb0nes,h,MisterWinner,h
Northern Isles,Shocky,u,Darkness,u
Concealed Hill,Lyn,o,Fly100%,o
Amazonia,Neytpoh,n,Deathnote,h
Echo Isles,Grubby,o,Sonik,n
Northern Isles,Hankk,o,Hunt,h
Northern Isles,Happy,u,Hipposaur,h
Concealed Hill,Neytpoh,n,Dise,n
Last Refuge,SushiLicious,u,Smurf,n
Last Refuge,Foggy,n,Michael,u
Amazonia,Fly100%,o,Fortitude,h
Northern Isles,XlorD,u,Sonik,n
Last Refuge,Sonik,n,Kingsta,u
Last Refuge,HawK,h,Deathnote,h
Northern Isles,Neytpoh,n,MisterWinner,h
Northern Isles,Sonik,n,ThundeR,h
Northern Isles,Hitman,o,行云影月,n
Echo Isles,Evocore,n,Manusiku,u
Northern Isles,Kevin,n,Philiwarrior,o
Concealed Hill,Dise,n,Foggy,n
Echo Isles,Fly100%,o,Colorful,n
Northern Isles,TH000,n,Infi,u
Amazonia,Rigety,o,PalleS,h
Concealed Hill,N4p0muk,o,Iver,o
Northern Isles,Happy,u,Sonik,n
Northern Isles,Happy,u,Verdi,h
Autumn Leaves,KiWiKaKi,o,INSUPERABLE,u
Shattered Exile,Neytpoh,n,MisterWinner,h
Terenas Stand LV,Dise,n,Ag3nt,h
Twisted Meadows,ArminvB,o,Rennaissanse,n
Concealed Hill,Sok,h,Eer0,u
Last Refuge,Dise,n,XeLSinG,o
Last Refuge,Soin,o,CrunCher,h
Turtle Rock,Sok,h,Lyn,o
Northern Isles,VietnamGosu,u,Pain,u
Shattered Exile,Cash,o,Fish,h
Echo Isles,Chaemiko,h,Soin,o
Concealed Hill,SyDe,u,Eer0,u
Concealed Hill,Hitman,o,CrunCher,h
Northern Isles,Edo,u,Mosura,u
Last Refuge,JokeRn,n,ToM,o
Northern Isles,SyDe,u,Blade,h
Last Refuge,Colorful,n,Fly100%,o
Amazonia,Sok,h,Eer0,u
Terenas Stand LV,Hitman,o,GodFather,u
Northern Isles,Mythos,u,MoonAndino,n
Amazonia,Dise,n,VictorZorin,u
Last Refuge,Mythos,u,PhiLbOiS,n
Last Refuge,JohnnyCage,h,Blade,h
Echo Isles,Yange,n,Michael,u
Terenas Stand LV,Arma,o,ToM,o
Concealed Hill,Ark,n,INSUPERABLE,u
Northern Isles,Michael,u,Ze1Ko,h
Amazonia,Fortitude,h,Pink,u
Concealed Hill,Sok,h,FoCuS,o
Amazonia,Manusiku,u,Totoro,n
Amazonia,SDmK,u,Maru,h
Last Refuge,ZeLL,h,DesTr0,h
Concealed Hill,Helbisch,u,Feartheg0lem,u
Turtle Rock,FoCuS,o,Ice orc,o
Concealed Hill,WFZ,u,Blade,h
Echo Isles,Xorc,n,Kelizara,h
Last Refuge,PalleS,h,ALe,n
Turtle Rock,Ser,u,Lilyal,u
Amazonia,LawLiet,n,Colorful,n
Last Refuge,Eer0,u,Colorful,n
Concealed Hill,KiWiKaKi,o,JohnnyCage,h
Shattered Exile,Sheik,u,Neytpoh,n
Terenas Stand LV,TGW,u,JohnnyCage,h
Northern Isles,Michael,u,XlorD,u
Last Refuge,Foggy,n,Sheik,u
Northern Isles,Happy,u,XeLSinG,o
Northern Isles,KraV,u,Edo,u
Last Refuge,Blade,h,Wiz,n
Northern Isles,Chaemiko,h,Ice orc,o
Echo Isles,Eer0,u,FoCuS,o
Northern Isles,Anxi,u,世界尽头,n
Echo Isles,VortiX,u,Happy,u
Concealed Hill,Chaemiko,h,FoCuS,o
Last Refuge,Crrpt,o,LICHTKOENIG,u
Last Refuge,Eer0,u,Fortitude,h
Echo Isles,Sok,h,Yange,n
Concealed Hill,Lyn,o,Eer0,u
Concealed Hill,INSUPERABLE,u,KiWiKaKi,o
Concealed Hill,FoCuS,o,KraV,u
Shattered Exile,Cash,o,Blade,h
Turtle Rock,PhoeNix,n,DeMiGoD,o
Northern Isles,Ze1Ko,h,WBraZZers,u
Concealed Hill,Ser,u,Gonz,n
Last Refuge,Happy,u,Fulky,n
Echo Isles,HawK,h,SyDe,u
Terenas Stand LV,Sonik,n,Ze1Ko,h
Amazonia,Happy,u,RenZNek,u
Amazonia,Edo,u,Deathnote,h
Last Refuge,Fish,h,MisterWinner,h
Last Refuge,Sonik,n,Loiu,o
Turtle Rock,Blade,h,HoT,n
Twisted Meadows,KraV,u,SyDe,u
Amazonia,Fortitude,h,Lyn,o
Northern Isles,Dise,n,Cement,u
Last Refuge,Sonik,n,Dise,n
Shattered Exile,Sheik,u,Lion9,o
Echo Isles,XlorD,u,Michael,u
Concealed Hill,Colorful,n,SyDe,u
Amazonia,Melody,u,Bike,h
Terenas Stand LV,CrunCher,u,DirtBag,h
Echo Isles,Happy,u,HawK,h
Amazonia,Dise,n,Please,n
Northern Isles,Edo,u,Chiko,o
Echo Isles,Sok,h,LawLiet,n
Concealed Hill,Sheik,u,Please,n
Northern Isles,Happy,u,Sixb0nes,h
Echo Isles,Sheik,u,Sok,h
Northern Isles,Hankk,o,Biko,u
Autumn Leaves,SyDe,u,PiWi,n
Last Refuge,HawK,h,HoT,n
Twisted Meadows,AllTheSmoke,u,GuvnoR,u
Concealed Hill,无道oc,o,Passion,n
Last Refuge,Pokey,n,Chaganaga,u
Concealed Hill,Hitman,o,RavinDrannor,o
Last Refuge,Deathnote,h,Smoshy,n
Concealed Hill,Ceron,u,Ice,u
Echo Isles,Pink,u,XiaoKai,o
Echo Isles,Happy,u,Sheik,u
Echo Isles,Brok,o,CaHeK,u
Echo Isles,Psike,u,Endozero,o
Northern Isles,Franzyzz,o,Scars,o
Concealed Hill,Sheik,u,Please,n
Northern Isles,ThundeR,h,Decadent God,o
Turtle Rock,Soin,o,XiaoKai,u
Zul'Alor,Cash,o,Starshaped,n
Amazonia,Sonik,n,Dragonborn BR,n
Last Refuge,EnTe,u,ToM,o
Northern Isles,Fast,o,行云影月,n
Northern Isles,Edo,u,Brok,o
Amazonia,PalleS,h,ALe,n
Tidehunters,Blade,h,Cash,o
Northern Isles,Chaemiko,h,15sui,u
Echo Isles,Lyn,o,Pink,u
Concealed Hill,Happy,u,Biko,u
Amazonia,Blade,h,HawK,h
Turtle Rock,Pink,u,Hitman,o
Amazonia,YaGami,h,IDentify,o
Last Refuge,LeMei,n,LuTr,o
Twisted Meadows,LawLiet,n,Lyn,o
Amazonia,LawLiet,n,Michael,u
Concealed Hill,SeTh,n,InsoliTe,u
Turtle Rock,LawLiet,n,Sok,h
Concealed Hill,Neytpoh,n,Gonz,n
Concealed Hill,Mango,u,Pcg 123,u
Northern Isles,Happy,u,Hankk,o
Last Refuge,Soulful,h,W1gan,n
Echo Isles,FoCuS,o,Infi,n
Last Refuge,HawK,h,Sonik,n
Amazonia,Ag3nt,h,Ser,u
Echo Isles,Colorful,n,Edo,u
Last Refuge,Foggy,n,Sonik,n
Turtle Rock,ThundeR,h,Blade,h
Northern Isles,HawK,h,Sixb0nes,h
Amazonia,Fortitude,h,FoCuS,o
Autumn Leaves,INSUPERABLE,u,CrunCher,h
Terenas Stand LV,Ice orc,o,Zhou Xixi,n
Northern Isles,Ark,n,INSUPERABLE,u
Concealed Hill,Neytpoh,n,Please,n
Amazonia,LawLiet,n,Michael,u
Amazonia,Happy,u,Glare,n
Echo Isles,Sonik,n,TGW,h
Amazonia,INSUPERABLE,u,DirtBag,h
Northern Isles,Dise,n,Flopoks,u
Terenas Stand LV,LawLiet,n,TeRRoR,u
Last Refuge,DirtBag,h,Hunter,n
Amazonia,DeMiGoD,o,Loopin,u
Concealed Hill,WaN,u,HawK,h
Last Snow,Blade,h,Dise,n
Terenas Stand LV,MisterWinner,h,ManicTwig,o
Last Refuge,Happy,u,VortiX,u
Amazonia,XiaOgame,o,Aeb,u
Concealed Hill,,,,
Terenas Stand LV,EnTe,u,JokeRn,n
Last Snow,Blade,h,MisterWinner,h
Concealed Hill,Please,n,Edo,u
Twisted Meadows,Foggy,n,KraV,u
Northern Isles,Ze1Ko,h,AGa,h
Northern Isles,Sheik,u,TGW,h
Echo Isles,Inspired,h,Hipposaur,h
Last Refuge,Paxa,u,MrMuggle,o
Concealed Hill,Foggy,n,Sonik,n
Terenas Stand LV,Lin Guagua,o,Anxi,u
Concealed Hill,KiWiKaKi,o,RavinDrannor,o
Echo Isles,Soin,o,15sui,n
Last Refuge,Edo,u,ToD,h
Last Refuge,Please,n,HawK,h
Northern Isles,Fish,h,Neytpoh,n
Concealed Hill,KraV,u,Seal,o
Northern Isles,TapioN,o,WASlosLEGUAN,TBD
Terenas Stand LV,Alice,n,Bido,h
Northern Isles,Soin,o,CrunCher,h
Last Refuge,Edo,u,NightEnD,u
Autumn Leaves,ZeLL,h,CorNoX,n
Concealed Hill,Foggy,n,Spiral,u
Concealed Hill,Moon,n,Ice orc,o
Concealed Hill,Cash,o,Please,n
Echo Isles,Celebrate,o,Philiwarrior,o
Amazonia,LawLiet,n,Sonik,n
Last Refuge,Infi,u,Colorful,n
Echo Isles,Michael,u,Foggy,n
Last Refuge,Michael,u,Sheik,u
Northern Isles,HawK,h,Imud,u
Echo Isles,FoCuS,o,Moon,n
Terenas Stand LV,Deathnote,h,Sonik,n
Turtle Rock,Please,n,SpiritLink,h
Northern Isles,SeTh,n,Seal,o
Amazonia,Eer0,u,Colorful,n
Northern Isles,Bzddd,n,转基因猪,TBD
Terenas Stand LV,HumanKingTom,h,Alexchen,n
Amazonia,Sonik,n,Edo,u
Concealed Hill,KnOfF,o,Hipposaur,h
Echo Isles,CoopeR,o,Pandabaernd,o
Terenas Stand LV,Sonik,n,Fish,h
Amazonia,Starshaped,n,SaiDe,n
Amazonia,Ag3nt,h,Mosura,u
Concealed Hill,ToX,u,Scription,h
Last Refuge,Destroyer (Iranian player),u,PhoeNix,n
Last Refuge,Fly100%,o,Moon,n
Northern Isles,Sheik,u,ThundeR,h
Northern Isles,Divine,u,FiZiX,u
Turtle Rock,Soin,o,Eer0,u
Amazonia,DirtBag,h,Hunter,n
Echo Isles,HawK,h,Happy,u
Northern Isles,Happy,u,TimberOwls,h
Amazonia,MisterWinner,h,Rahvin,h
Northern Isles,Happy,u,Starshaped,n
Terenas Stand LV,DirtBag,h,Alexchen,n
Last Refuge,P1nke,o,Hipposaur,h
Echo Isles,Moon,n,Fly100%,o
Echo Isles,Scars,o,Celebrate,o
Northern Isles,Blade,h,HawK,h
Last Refuge,Grubby,o,Sonik,n
Concealed Hill,Eer0,u,Colorful,n
Northern Isles,Michael,u,FoCuS,o
Terenas Stand LV,ToD,h,Spiral,n
Concealed Hill,Sunny,h,Helbisch,u
Amazonia,ChriS,u,N4p0muk,o
Amazonia,Lyn,o,Michael,u
Echo Isles,Lin Guagua,o,ThundeR,h
Echo Isles,Paladyn,n,KraV,u
Concealed Hill,Lyn,o,Eer0,u
Concealed Hill,Fly100%,o,Lyn,o
Concealed Hill,Philiwarrior,o,Spiral,o
Concealed Hill,Happy,u,Please,n
Last Refuge,Sonik,n,Hipposaur,h
Terenas Stand LV,CrunCher,h,Duck,u
Northern Isles,Helbisch,u,ArminvB,o
Northern Isles,INSUPERABLE,u,Ark,n
Talonrift Coast,Sonik,n,MisterWinner,h
Amazonia,HumanKingTom,h,Lnclnerator,o
Amazonia,Happy,u,HawK,h
Terenas Stand LV,BlaST9Z,n,BaSsLiNe,u
Terenas Stand LV,,,,
Last Refuge,Happy,u,Sonik,n
Last Refuge,Happy,u,Please,n
Northern Isles,Sonik,n,Ghost OL,u
Amazonia,Sonik,n,Deathnote,h
Turtle Rock,WFZ,u,LawLiet,n
Last Refuge,Sonik,n,Cement,u
Concealed Hill,Fish,h,Flopoks,u
Amazonia,Sonik,n,Please,n
Northern Isles,HawK,h,Dise,n
Twisted Meadows,Deuce,u,Ark,n
Amazonia,Fortitude,h,Ice orc,o
Amazonia,Sonik,n,Oden,n
Concealed Hill,XlorD,u,TGW,h
Concealed Hill,Spiral,o,Shocky,u
Last Refuge,Hitman,o,Deuce,u
Concealed Hill,Mosura,u,Fish,h
Twisted Meadows,WTii,h,AllTheSmoke,u
Concealed Hill,ThundeR,h,P1nke,o
Last Refuge,MisterWinner,h,FeeLx,h
Echo Isles,XlorD,u,EnTe,u
Last Refuge,INSUPERABLE,u,Hitman,o
Concealed Hill,Neytpoh,n,XlorD,u
Echo Isles,N4p0muk,o,Iver,o
Concealed Hill,IDentify,o,Iblazatar,h
Twisted Meadows,Sonik,n,W1gan,n
Terenas Stand LV,Sonik,n,Cement,u
Tidehunters,ReaveR,h,D4rK,n
Echo Isles,Michael,u,TGW,u
Echo Isles,Franzyzz,o,Philiwarrior,o
Concealed Hill,ReaVeR,h,Quberte,u
Amazonia,LawLiet,n,WFZ,u
Northern Isles,FpXy,u,Smurf,n
Amazonia,CoopeR,o,ToD,h
Northern Isles,Maru,h,Flamy4,n
Last Refuge,Sonik,n,WaN,u
Last Refuge,Helbisch,u,HammBamm,h
Last Refuge,Sheik,u,Celebrate,o
Last Refuge,Cement,u,Rados,h
Concealed Hill,INSUPERABLE,u,Pokey,n
Last Refuge,Drunken,h,MisterWinner,h
Echo Isles,ThundeR,h,LeMei,n
Last Refuge,Patitofeo,u,Rcknew,n
Northern Isles,ThorZaIN,h,Starshaped,n
Northern Isles,Eer0,u,Sok,h
Terenas Stand LV,YggaM,h,Ostone,o
Last Refuge,Foggy,n,Biko,u
Concealed Hill,Cash,o,Please,n
Last Refuge,WFZ,u,Blade,h
Concealed Hill,Ice orc,o,GoaL,u
Last Refuge,Divine,u,FiZiX,u
Terenas Stand LV,Deathnote,h,Evanescence,n
Turtle Rock,SDmK,u,IDentify,o
Last Refuge,MisterWinner,h,Heyanor,n
Last Refuge,LeMei,n,Vitichka,n
Echo Isles,Duck,u,Soulglider,h
Echo Isles,Happy,u,Chiko,o
Amazonia,Neytpoh,n,TeRRoR,u
Northern Isles,Happy,u,Sheik,u
Turtle Rock,CaSpeND,h,Tak3r,o
Tidehunters,KiWiKaKi,o,INSUPERABLE,u
Terenas Stand LV,FeeLx,h,Zyklon66,n
Concealed Hill,Drunken,h,ToX,u
Last Refuge,Bischa,h,Sorah,o
Terenas Stand LV,Fortitude,h,LawLiet,n
Northern Isles,Cement,u,Rav3n,u
Northern Isles,Michael,u,Sonik,n
Northern Isles,ReaVeR,h,Sunny,h
Terenas Stand LV,Sok,h,Neytpoh,n
Terenas Stand LV,Sok,h,Foggy,n
Terenas Stand LV,ToM,o,Drunken,h
Northern Isles,Michael,u,TGW,u
Last Refuge,Soin,o,Alice,n
Echo Isles,Colorful,n,Eer0,u
Echo Isles,SeTh,n,ZeLL,h
Northern Isles,Happy,u,Please,n
Concealed Hill,OOrs,n,HartCrane,o
Echo Isles,Sunny,h,Crrpt,o
Concealed Hill,ThundeR,h,Please,n
Echo Isles,Pink,u,白纸哒哒哒,n
Northern Isles,Fly100%,o,FoCuS,o
Shattered Exile,MisterWinner,h,Arma,o
Concealed Hill,Eer0,u,LawLiet,n
Last Refuge,Fly100%,o,XiaoKai,u
Amazonia,Blade,h,LiiLD.C,n
Last Refuge,Soin,o,Foggy,n
Turtle Rock,XlorD,u,X3-DemoN,h
Turtle Rock,PhoeNix,n,Destroyer (Iranian player),u
Amazonia,ToD,h,SaiDe,n
Last Refuge,LawLiet,n,XiaoKai,u
Northern Isles,Sheik,u,Deathnote,h
Last Refuge,Edo,u,ToM,o
Echo Isles,15sui,h,Alice,n
Amazonia,Happy,u,Dise,n
Northern Isles,Happy,u,Inspired,h
Last Refuge,Neytpoh,n,KraV,u
Last Refuge,JohnnyCage,h,Michael,u
Autumn Leaves,PhiLbOiS,n,Counting1,h
Northern Isles,Cement,u,MisterWinner,h
Last Refuge,Happy,u,Sonik,n
Terenas Stand LV,Deathnote,h,CoopeR,o
Northern Isles,Sheik,u,TGW,u
Echo Isles,FoCuS,o,Yange,n
Amazonia,Michael,u,Biko,u
Twisted Meadows,Happy,u,Sonik,n
Terenas Stand LV,LawLiet,n,Chaemiko,h
Last Refuge,XlorD,u,EnTe,u
Echo Isles,HoT,n,Deathnote,h
Northern Isles,Mango,u,Pcg 123,u
Concealed Hill,Philiwarrior,o,SpoKi,h
Last Refuge,Biko,u,Toshbi,n
Amazonia,Foggy,n,LawLiet,n
Northern Isles,Lyn,n,LawLiet,o
Concealed Hill,HoT,n,Deathnote,h
Echo Isles,Daille,h,InsoliTe,u
Northern Isles,Please,n,Blade,h
Last Refuge,Sok,h,Infi,n
Turtle Rock,FoCuS,o,Moon,n
Northern Isles,Mythos,u,TaiLa,o
Northern Isles,YggaM,h,ActionMarc,TBD
Last Refuge,CarsoNNN,o,Mythos,u
Amazonia,Changer,h,Darkness,u
Concealed Hill,ThorZaIN,h,XlorD,u
Amazonia,ReseT,n,Argus,o
Northern Isles,Mythos,u,Aware,h
Concealed Hill,KraV,u,XlorD,u
Concealed Hill,Sini,n,XiaoKai,o
Amazonia,Sheik,u,Endozero,u
Last Refuge,Flopoks,u,MisterWinner,h
Amazonia,MisterWinner,h,SilviuB52,h
Turtle Rock,Sok,h,Fortitude,h
Amazonia,JohnnyCage,h,Dise,n
Last Refuge,Pink,u,Pcg 123,u
Concealed Hill,Soin,o,Sok,h
Amazonia,Edo,u,Rigety,o
Concealed Hill,Blade,h,WaN,u
Echo Isles,Michael,u,Fortitude,h
Amazonia,Sheik,u,Neytpoh,n
Echo Isles,Foggy,n,CoopeR,o
Last Refuge,MisterWinner,h,HotGuy6Pack,o
Northern Isles,Happy,u,Hipposaur,h
Northern Isles,XlorD,u,SyDe,u
Concealed Hill,Dise,n,Flopoks,u
Last Refuge,Celebrate,o,Krawty,n
Echo Isles,ThorZaIN,h,Sheik,u
Terenas Stand LV,Yange,n,GunEgg,u
Last Refuge,Abuser100,u,JohnyF,h
Amazonia,Simba,h,Speroce,o
Concealed Hill,Yumiko,h,淹死的Fish,h
Amazonia,Spiral,n,ToD,h
Last Refuge,ToD,h,Sixb0nes,h
Talonrift Coast,Sonik,n,TGW,u
Northern Isles,FoCuS,o,Ice orc,o
Northern Isles,Neytpoh,n,Sheik,u
Terenas Stand LV,Sheik,u,Cash,o
Echo Isles,ArminvB,o,Edo,u
Twisted Meadows,Mythos,u,PhiLbOiS,n
Amazonia,Sooo Unreal,h,Meecro,n
Zul'Alor,Sheik,u,Cash,o
Last Refuge,JohnnyCage,h,RaZZoRMaN,o
Amazonia,Lubber,u,ToM,o
Amazonia,Chaemiko,h,15sui,n
Last Refuge,SeTh,n,InsoliTe,u
Northern Isles,Pongo,n,Sarazil,u
Northern Isles,Sonik,n,Cash,o
Amazonia,Foggy,n,ThundeR,h
Northern Isles,Fly100%,o,LawLiet,n
Northern Isles,Foggy,n,JohnnyCage,h
Amazonia,ToM,o,Ag3nt,h
Concealed Hill,Biko,u,JohnnyCage,h
Echo Isles,XiaoKai,u,FoCuS,o
Northern Isles,Sauce (American player),u,TnT600X,o
Northern Isles,Chaemiko,h,FoCuS,o
